순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
4,김태진,키움,0.333,3,1,0,0,0,1,1,0,1,0,5번
4,주성원,키움,0.333,3,1,1,0,0,0,0,0,1,0,5번
6,변상권,키움,0.294,17,5,0,0,1,5,0,0,3,1,5번
7,고영우,키움,0.265,34,9,1,0,0,8,3,0,4,0,5번
8,최주환,키움,0.228,79,18,2,0,0,9,5,1,15,2,5번
9,이형종,키움,0.172,29,5,2,0,2,7,5,0,9,0,5번
10,송성문,키움,0.158,19,3,0,0,0,1,1,0,2,0,5번
11,이원석,키움,0.154,39,6,1,0,0,4,7,2,10,0,5번
12,김건희,키움,0.100,10,1,0,0,0,0,1,0,7,1,5번
13,김웅빈,키움,0.000,1,0,0,0,0,1,2,0,1,0,5번
13,박수종,키움,-,0,0,0,0,0,0,1,0,0,0,5번
13,이재상,키움,0.000,1,0,0,0,0,0,0,1,1,0,5번
13,임지열,키움,0.000,7,0,0,0,0,1,0,0,2,0,5번
1,김주형,키움,1.0,1,1,0,0,0,1,0,0,0,0,6번
2,김재현,키움,0.5,4,2,1,0,0,1,0,0,0,0,6번
3,고영우,키움,0.469,32,15,2,0,0,3,8,0,2,2,6번
3,송성문,키움,0.469,32,15,3,0,3,10,5,1,6,0,6번
5,이형종,키움,0.323,31,10,1,0,2,7,10,1,6,0,6번
6,이원석,키움,0.3,20,6,2,0,0,2,3,0,1,1,6번
7,변상권,키움,0.269,26,7,0,0,1,5,3,0,5,1,6번
8,김건희,키움,0.25,8,2,0,0,0,2,0,0,3,1,6번
9,최주환,키움,0.211,19,4,1,0,0,0,1,0,4,0,6번
10,김동헌,키움,0.2,5,1,0,0,0,1,1,1,0,0,6번
11,이용규,키움,0.133,15,2,0,0,0,2,2,0,2,1,6번
12,김태진,키움,0.125,8,1,0,0,0,0,0,0,1,0,6번
13,김웅빈,키움,0.0,3,0,0,0,0,0,0,1,0,0,6번
13,김혜성,키움,0.0,1,0,0,0,0,0,0,0,1,0,6번
13,박주홍,키움,0.0,4,0,0,0,0,0,1,0,1,0,6번
13,예진원,키움,0.0,1,0,0,0,0,0,0,0,0,0,6번
13,원성준,키움,0.0,6,0,0,0,0,1,1,0,3,0,6번
13,이승원,키움,0.0,1,0,0,0,0,0,0,0,0,0,6번
13,임병욱,키움,0.0,1,0,0,0,0,0,0,0,1,0,6번
13,임지열,키움,0.0,6,0,0,0,0,0,0,0,2,0,6번
13,주성원,키움,0.0,5,0,0,0,0,0,0,0,3,0,6번
1,이재상,키움,1.000,1,1,1,0,0,0,1,0,0,0,7번
2,이형종,키움,0.500,4,2,0,0,0,3,0,0,1,0,7번
3,고영우,키움,0.421,19,8,2,0,0,0,1,0,6,0,7번
4,이용규,키움,0.364,11,4,0,1,0,1,4,0,1,0,7번
