순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
4,류현인,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,"10,11,12,13,15,16,17,18"
4,박경수,KT,0.000,3,0,0,0,0,0,1,0,1,0,2023,내야수,"10,11,12,13,15,16,17,18"
4,박병호,KT,0.000,3,0,0,0,0,0,0,0,1,0,2023,내야수,"10,11,12,13,15,16,17,18"
4,이상호,KT,0.000,2,0,0,0,0,1,0,0,0,0,2023,내야수,"10,11,12,13,15,16,17,18"
4,이호연,KT,0.000,2,0,0,0,0,0,0,0,0,0,2023,내야수,"10,11,12,13,15,16,17,18"
4,장준원,KT,-,0,0,0,0,0,0,1,0,0,0,2023,내야수,"10,11,12,13,15,16,17,18"
1,홍현빈,KT,0.429,7,3,0,0,0,0,2,0,1,0,2023,외야수,1
2,김민혁,KT,0.299,87,26,4,1,0,0,5,2,7,0,2023,외야수,1
3,알포드,KT,0.232,95,22,5,0,1,13,12,3,29,3,2023,외야수,1
4,문상철,KT,0.231,26,6,1,0,0,1,2,0,7,1,2023,외야수,1
5,배정대,KT,0.182,11,2,0,0,0,0,1,1,3,0,2023,외야수,1
6,조용호,KT,0.143,28,4,0,0,0,0,1,0,4,0,2023,외야수,1
7,안치영,KT,0.000,8,0,0,0,0,0,1,0,5,0,2023,외야수,1
7,정준영,KT,0.000,2,0,0,0,0,0,0,0,1,0,2023,외야수,1
1,정준영,KT,0.500,4,2,0,0,0,1,0,0,1,0,2023,외야수,2
2,알포드,KT,0.370,27,10,2,1,0,0,4,0,6,0,2023,외야수,2
3,문상철,KT,0.333,36,12,2,0,1,3,3,1,8,0,2023,외야수,2
4,조용호,KT,0.308,13,4,1,0,0,1,1,0,2,0,2023,외야수,2
5,김민혁,KT,0.276,29,8,1,0,0,2,3,0,3,0,2023,외야수,2
6,배정대,KT,0.261,46,12,3,0,1,5,7,0,12,0,2023,외야수,2
7,안치영,KT,0.250,12,3,1,0,0,3,0,0,3,0,2023,외야수,2
8,김병준,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,외야수,2
8,이시원,KT,0.000,2,0,0,0,0,0,1,0,0,0,2023,외야수,2
8,홍현빈,KT,0.000,5,0,0,0,0,0,1,0,2,0,2023,외야수,2
1,알포드,KT,0.413,63,26,7,1,4,19,2,1,15,0,2023,외야수,3
2,조용호,KT,0.273,22,6,0,0,0,1,3,0,4,1,2023,외야수,3
3,안치영,KT,0.263,19,5,1,0,0,1,1,0,4,1,2023,외야수,3
4,김민혁,KT,0.238,63,15,4,1,1,11,2,0,12,1,2023,외야수,3
5,홍현빈,KT,0.231,13,3,1,0,0,0,1,0,5,0,2023,외야수,3
6,배정대,KT,0.195,41,8,2,0,0,2,5,0,8,0,2023,외야수,3
