,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
140,이형범,두산,1,0,0,0,-,0,0,2020
141,장승현,두산,23,0,0,0,-,0,0,2020
142,정상호,두산,42,0,0,0,-,0,1,2020
143,조제영,두산,1,0,0,0,-,0,0,2020
144,최용제,두산,28,0,0,0,-,0,0,2020
145,페르난데스,두산,144,1,0,1,0.0,9,0,2020
146,함덕주,두산,2,0,0,0,-,0,0,2020
147,홍건희,두산,1,0,0,0,-,0,0,2020
148,김혜성,키움,142,33,25,8,75.8,3,2,2020
149,서건창,키움,135,34,24,10,70.6,9,1,2020
150,김하성,키움,138,25,23,2,92.0,6,0,2020
151,이정후,키움,140,14,12,2,85.7,3,1,2020
152,박정음,키움,86,10,9,1,90.0,0,1,2020
153,전병우,키움,119,7,7,0,100,3,0,2020
154,박준태,키움,128,6,5,1,83.3,4,3,2020
155,임병욱,키움,12,3,3,0,100,0,0,2020
156,러셀,키움,65,2,2,0,100,3,1,2020
157,김규민,키움,54,1,1,0,100,1,0,2020
158,김웅빈,키움,73,1,1,0,100,1,1,2020
159,이지영,키움,101,2,1,1,50.0,2,0,2020
160,김동혁,키움,1,0,0,0,-,0,0,2020
161,김병휘,키움,1,0,0,0,-,0,0,2020
162,김상수,키움,1,0,0,0,-,0,0,2020
163,김성민,키움,3,0,0,0,-,0,0,2020
164,김수환,키움,9,0,0,0,-,1,0,2020
165,김은성,키움,16,0,0,0,-,0,0,2020
166,김재웅,키움,2,0,0,0,-,0,0,2020
167,김재현,키움,4,0,0,0,-,0,0,2020
168,김주형,키움,39,1,0,1,0.0,0,0,2020
169,모터,키움,10,0,0,0,-,0,0,2020
170,문찬종,키움,5,0,0,0,-,0,0,2020
171,박동원,키움,112,0,0,0,-,0,0,2020
172,박병호,키움,93,0,0,0,-,1,1,2020
173,박주홍,키움,13,1,0,1,0.0,1,0,2020
174,변상권,키움,35,0,0,0,-,0,0,2020
175,송우현,키움,14,0,0,0,-,0,0,2020
176,신재영,키움,1,0,0,0,-,0,0,2020
177,안우진,키움,1,0,0,0,-,0,0,2020
178,양지율,키움,1,0,0,0,-,0,0,2020
179,양현,키움,1,0,0,0,-,0,0,2020
180,윤정현,키움,2,0,0,0,-,0,0,2020
181,이택근,키움,20,0,0,0,-,0,0,2020
182,임규빈,키움,2,0,0,0,-,0,0,2020
183,임지열,키움,1,0,0,0,-,0,0,2020
184,조상우,키움,6,0,0,0,-,0,0,2020
185,조성운,키움,4,0,0,0,-,0,0,2020
186,조영건,키움,3,0,0,0,-,0,0,2020
187,주효상,키움,63,0,0,0,-,0,0,2020
188,허정협,키움,111,0,0,0,-,2,0,2020
0,배정대,KT,144,26,19,7,73.1,2,0,2021
1,심우준,KT,139,22,16,6,72.7,3,1,2021
2,송민섭,KT,122,16,15,1,93.8,0,0,2021
3,조용호,KT,138,21,12,9,57.1,1,0,2021
4,황재균,KT,117,15,11,4,73.3,4,0,2021
5,강백호,KT,142,15,10,5,66.7,10,2,2021
6,김민혁,KT,75,9,6,3,66.7,3,0,2021
7,호잉,KT,68,7,5,2,71.4,1,0,2021
8,오윤석,KT,97,4,4,0,100,1,0,2021
9,권동진,KT,86,6,3,3,50.0,5,0,2021
10,김병희,KT,34,3,3,0,100,0,0,2021
11,문상철,KT,53,2,2,0,100,0,1,2021
12,김건형,KT,11,1,1,0,100,0,0,2021
13,김태훈,KT,44,1,1,0,100,0,0,2021
14,박승욱,KT,8,1,1,0,100,0,0,2021
15,신본기,KT,96,3,1,2,33.3,2,1,2021
16,알몬테,KT,60,1,1,0,100,2,0,2021
17,유한준,KT,104,1,1,0,100,1,0,2021
18,장성우,KT,127,3,1,2,33.3,3,0,2021
19,천성호,KT,41,1,1,0,100,0,0,2021
20,강민국,KT,18,0,0,0,-,1,0,2021
21,고명성,KT,7,0,0,0,-,0,0,2021
22,고영표,KT,1,0,0,0,-,0,0,2021
23,김민수,KT,6,0,0,0,-,0,0,2021
24,김재윤,KT,8,0,0,0,-,0,0,2021
25,김준태,KT,58,0,0,0,-,0,0,2021
26,박경수,KT,118,1,0,1,0.0,3,0,2021
27,박시영,KT,3,0,0,0,-,0,0,2021
28,심재민,KT,3,0,0,0,-,0,0,2021
29,안영명,KT,1,0,0,0,-,0,0,2021
30,유원상,KT,1,0,0,0,-,0,0,2021
31,이대은,KT,1,0,0,0,-,0,0,2021
32,이창재,KT,1,0,0,0,-,0,0,2021
33,이홍구,KT,37,0,0,0,-,0,0,2021
34,조현우,KT,3,0,0,0,-,0,0,2021
35,하준호,KT,2,0,0,0,-,0,0,2021
