,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
108,문원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
109,박성재,두산,0.000,0,0,0,-,0,0.00,8.00,0.000,-0.1,0.0,2021
110,박소준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
111,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
112,백동훈,두산,0.000,0,0,1,0.00,0,0.00,3.00,0.000,-0.3,0.0,2021
113,서예일,두산,0.000,0,0,1,0.00,0,-,3.00,0.000,-0.1,0.0,2021
114,오명진,두산,0.000,0,2,0,-,0,0.00,4.33,0.000,-0.3,0.0,2021
115,윤명준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
116,이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
117,이승진,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
118,이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
119,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
120,황경태,두산,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0,2021
121,김성표,삼성,0.333,0,3,2,1.50,0,0.71,4.21,0.000,3.6,0.298,2021
122,구자욱,삼성,0.306,62,122,169,0.72,9,0.49,3.87,0.214,103.8,0.292,2021
123,박해민,삼성,0.291,28,116,131,0.89,5,0.84,4.20,0.086,74.3,0.267,2021
124,강민호,삼성,0.291,40,129,113,1.14,12,0.85,3.60,0.187,66.6,0.282,2021
125,피렐라,삼성,0.286,56,143,166,0.86,10,0.64,3.76,0.210,96.3,0.285,2021
126,오재일,삼성,0.285,45,99,102,0.97,9,0.55,3.82,0.227,79.9,0.293,2021
127,김헌곤,삼성,0.281,14,111,76,1.46,2,0.74,4.08,0.076,41.7,0.249,2021
128,최영진,삼성,0.281,4,19,10,1.90,1,0.42,4.03,0.140,8.3,0.262,2021
129,김지찬,삼성,0.274,7,112,75,1.49,6,0.87,3.65,0.030,36.7,0.225,2021
130,김민수,삼성,0.263,8,24,21,1.14,1,0.46,3.67,0.184,11.2,0.255,2021
131,강한울,삼성,0.260,5,64,46,1.39,0,0.50,4.13,0.022,23.7,0.224,2021
132,김현준,삼성,0.250,0,1,2,0.50,0,-,3.25,0.000,-0.1,0.175,2021
133,김동엽,삼성,0.238,13,44,59,0.75,4,0.24,3.67,0.114,20.3,0.216,2021
134,김상수,삼성,0.235,21,147,134,1.10,6,1.02,3.90,0.065,43.1,0.219,2021
135,송준석,삼성,0.235,4,14,12,1.17,0,0.23,3.84,0.157,5.7,0.229,2021
136,이원석,삼성,0.231,28,77,158,0.49,7,0.75,3.91,0.115,53.5,0.24,2021
137,김호재,삼성,0.227,2,25,20,1.25,1,0.64,4.04,0.027,7.8,0.208,2021
138,오선진,삼성,0.214,0,14,11,1.27,0,0.38,4.02,0.000,2.1,0.181,2021
139,이학주,삼성,0.206,12,34,28,1.21,1,0.23,4.16,0.129,13.8,0.208,2021
140,박승규,삼성,0.182,4,24,21,1.14,0,1.00,3.73,0.152,6.3,0.218,2021
141,김성윤,삼성,0.167,0,7,4,1.75,0,0.00,3.32,0.000,0.2,0.113,2021
142,김도환,삼성,0.146,2,7,8,0.88,0,0.10,4.07,0.049,1.2,0.149,2021
143,권정웅,삼성,0.000,0,1,0,-,0,-,6.00,0.000,-0.1,0.0,2021
144,김윤수,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
145,김응민,삼성,0.000,0,1,1,1.00,0,-,3.50,0.000,-0.2,0.0,2021
146,노건우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
147,문용익,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
148,백승민,삼성,0.000,0,1,0,-,0,0.00,4.67,0.000,-0.3,0.0,2021
149,안주형,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
150,오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
151,이재익,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
152,이태훈,삼성,0.000,0,0,1,0.00,0,0.00,3.50,0.000,-0.2,0.0,2021
153,이정후,키움,0.360,55,131,138,0.95,7,1.68,3.94,0.162,100.8,0.328,2021
154,김혜성,키움,0.304,26,165,137,1.20,7,0.67,4.01,0.063,88.0,0.259,2021
155,이용규,키움,0.296,25,152,131,1.16,5,1.54,4.24,0.076,76.0,0.27,2021
156,송우현,키움,0.296,22,76,52,1.46,3,0.57,3.71,0.120,37.3,0.271,2021
157,김은성,키움,0.278,3,5,2,2.50,0,0.00,3.44,0.167,1.9,0.236,2021
158,이지영,키움,0.275,6,102,53,1.92,4,1.12,3.50,0.030,22.6,0.224,2021
159,프레이타스,키움,0.259,12,40,35,1.14,3,0.24,3.70,0.115,13.1,0.227,2021
160,박동원,키움,0.249,43,105,94,1.12,11,0.46,4.06,0.211,65.6,0.269,2021
161,송성문,키움,0.249,17,58,85,0.68,4,0.60,3.76,0.122,30.5,0.237,2021
162,크레익,키움,0.248,18,51,74,0.69,3,0.47,3.67,0.135,27.0,0.24,2021
163,김웅빈,키움,0.241,20,54,51,1.06,2,0.47,4.16,0.142,35.0,0.257,2021
164,변상권,키움,0.239,9,55,29,1.90,1,0.23,3.76,0.082,14.5,0.204,2021
165,박병호,키움,0.227,43,77,105,0.73,9,0.33,4.05,0.203,60.2,0.253,2021
166,김수환,키움,0.220,4,7,9,0.78,0,0.12,3.91,0.195,4.1,0.216,2021
167,김재현,키움,0.217,7,14,10,1.40,0,0.25,3.57,0.152,3.6,0.212,2021
168,김병휘,키움,0.200,0,1,5,0.20,0,0.50,3.27,0.000,0.6,0.173,2021
169,박준태,키움,0.196,3,13,8,1.63,0,0.63,4.05,0.065,6.0,0.228,2021
170,전병우,키움,0.187,14,33,59,0.56,1,0.40,4.10,0.121,26.1,0.221,2021
171,김주형,키움,0.180,3,12,14,0.86,1,0.27,3.70,0.060,7.4,0.235,2021
172,신준우,키움,0.167,3,5,10,0.50,0,0.19,3.84,0.071,2.9,0.186,2021
173,이명기,키움,0.167,0,1,1,1.00,0,0.67,4.38,0.000,0.7,0.211,2021
174,예진원,키움,0.158,8,26,43,0.60,1,0.43,3.89,0.096,7.1,0.175,2021
175,허정협,키움,0.156,0,11,17,0.65,0,0.70,3.83,0.000,2.0,0.16,2021
176,문찬종,키움,0.143,0,4,4,1.00,0,0.75,4.41,0.000,0.5,0.168,2021
177,김휘집,키움,0.129,2,16,23,0.70,0,0.57,4.21,0.057,5.8,0.172,2021
178,임지열,키움,0.120,0,5,7,0.71,0,0.40,3.77,0.000,0.5,0.15,2021
179,박주홍,키움,0.106,2,12,9,1.33,0,0.43,4.54,0.043,1.5,0.15,2021
180,이주형,키움,0.100,1,2,0,-,0,0.14,4.27,0.300,0.9,0.182,2021
181,김동욱,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
182,김성민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
183,김성진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
184,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
185,김정인,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
186,김태훈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
187,문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
188,박관진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
189,박승주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
190,박정음,키움,0.000,0,6,6,1.00,0,0.67,3.61,0.000,-0.2,0.075,2021
191,양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
192,오주원,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
193,윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
194,이승호,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
195,장재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
196,조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
197,조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
0,권혁경,KIA,0.500,0,0,1,0.00,0,-,5.50,0.000,0.4,0.35,2022
1,김선우,KIA,0.333,0,1,1,1.00,0,-,2.75,0.000,0.7,0.308,2022
2,박정우,KIA,0.333,0,0,1,0.00,0,0.00,3.33,0.000,0.3,0.233,2022
3,나성범,KIA,0.320,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308,2022
4,소크라테스,KIA,0.311,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283,2022
5,이창진,KIA,0.301,21,102,81,1.26,2,0.65,4.03,0.101,52.3,0.269,2022
6,이우성,KIA,0.292,8,42,23,1.83,1,0.60,3.93,0.083,14.1,0.256,2022
7,김선빈,KIA,0.287,26,182,134,1.36,6,1.38,3.96,0.063,69.7,0.255,2022
8,고종욱,KIA,0.283,10,32,23,1.39,2,0.33,3.91,0.142,13.8,0.253,2022
9,류지혁,KIA,0.274,23,130,83,1.57,8,0.67,3.93,0.072,55.6,0.253,2022
10,김호령,KIA,0.273,3,15,19,0.79,0,0.32,3.82,0.078,8.1,0.238,2022
11,박찬호,KIA,0.272,26,160,139,1.15,8,0.85,4.00,0.069,67.1,0.24,2022
12,최형우,KIA,0.264,42,114,130,0.88,6,0.79,4.22,0.156,71.1,0.27,2022
13,황대인,KIA,0.256,41,121,146,0.83,8,0.39,3.53,0.145,56.4,0.242,2022
14,박동원,KIA,0.242,39,104,94,1.11,6,0.47,4.10,0.195,56.5,0.259,2022
15,김도영,KIA,0.237,18,48,62,0.77,0,0.35,4.00,0.125,27.3,0.231,2022
16,김규성,KIA,0.180,2,15,14,1.07,0,0.08,3.31,0.100,2.6,0.158,2022
17,한승택,KIA,0.176,3,26,29,0.90,0,0.30,3.76,0.049,6.5,0.174,2022
18,김석환,KIA,0.149,5,27,21,1.29,1,0.31,4.23,0.117,6.9,0.18,2022
19,최정용,KIA,0.091,0,7,7,1.00,0,0.00,3.43,0.000,-0.8,0.064,2022
20,임석진,KIA,0.071,1,3,1,3.00,0,0.22,4.94,0.214,0.8,0.177,2022
21,김재열,KIA,-,0,0,0,-,0,-,-,-,0.0,0.0,2022
