선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
최항,SK,0.228,52,147,127,12,29,5,0,0,34,14,1,1,16,0,2,24,3,0.268,0.322,0.590,5,0.25,0.0,2019
남태혁,SK,0.227,12,24,22,1,5,0,0,0,5,1,0,0,2,0,0,3,3,0.227,0.292,0.519,0,0.167,0.2,2019
최승준,SK,0.227,10,24,22,2,5,0,0,0,5,0,0,0,2,0,0,10,1,0.227,0.292,0.519,1,0.0,0.0,2019
배영섭,SK,0.225,30,80,71,5,16,1,0,0,17,7,0,1,6,0,2,15,0,0.239,0.300,0.539,2,0.385,0.25,2019
나주환,SK,0.222,94,245,225,14,50,9,0,3,68,20,4,1,12,0,3,54,6,0.302,0.270,0.572,12,0.226,0.385,2019
최준우,SK,0.212,15,36,33,3,7,2,0,0,9,0,0,0,3,0,0,3,2,0.273,0.278,0.551,2,0.0,0.5,2019
박정권,SK,0.188,18,37,32,5,6,1,0,1,10,5,0,0,5,0,0,11,0,0.313,0.297,0.610,2,0.25,0.2,2019
정진기,SK,0.188,13,17,16,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0.188,0.235,0.423,1,0.5,1.0,2019
김창평,SK,0.178,18,53,45,4,8,2,0,0,10,3,3,0,4,0,1,11,1,0.222,0.260,0.482,3,0.25,0.0,2019
강승호,SK,0.154,15,42,39,5,6,0,0,2,12,5,1,0,2,0,0,18,1,0.308,0.195,0.503,1,0.25,0.0,2019
허도환,SK,0.127,56,93,79,3,10,3,0,1,16,6,4,2,5,0,3,18,3,0.203,0.202,0.405,0,0.0,0.0,2019
정현,SK,0.079,27,45,38,3,3,0,0,0,3,2,0,1,6,0,0,17,1,0.079,0.200,0.279,0,0.167,0.0,2019
최경모,SK,0.063,17,16,16,2,1,1,0,0,2,1,0,0,0,0,0,2,0,0.125,0.063,0.188,0,0.0,0.0,2019
김태훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
신재웅,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
오준혁,SK,0.000,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,2019
이승진,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
이현석,SK,0.0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2019
